Cluster ID,Link Score,source file,id,title,authors,venue,year
1138,0.978013,0,304586,The WASA2 object-oriented workflow management system,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data,1999
1026,0.979068,0,304587,A user-centered interface for querying distributed multimedia databases,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data,1999
1812,,0,304589,"World Wide Database-integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data,1999
1607,0.956505,0,304590,XML-based information mediation with MIX,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data,1999
1581,0.959722,0,304582,The CCUBE constraint object-oriented database system,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data,1999
1813,,0,304583,The Cornell Jaguar project: adding mobility to PREDATOR,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data,1999
1361,0.975053,0,304584,The active MultiSync controller of the cubetree storage organization,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,1999
1814,,0,304585,The Jungle database search engine,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data,1999
1815,,0,306112,ADEPT: an agent-based approach to business process management,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record ,1998
171,0.984994,0,306115,A componentized architecture for dynamic electronic markets,"Benny Reich, Israel Ben-Shaul",ACM SIGMOD Record ,1998
194,0.984994,0,306119,Design and implementation of RMP: a virtual electronic market place,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",ACM SIGMOD Record ,1998
1633,0.953735,0,306124,Discovering Internet marketing intelligence through online analytical web usage mining,"Alex G. B&#252;chner, Maurice D. Mulvenna",ACM SIGMOD Record ,1998
1198,0.977174,0,306102,Component-based e-commerce: assessment of current practices and future directions,"Martin Bichler, Arie Segev, J. Leon Zhao",ACM SIGMOD Record ,1998
190,0.984994,0,306103,Building database-driven electronic catalogs,Sherif Danish,ACM SIGMOD Record ,1998
1816,,0,306105,XML and electronic commerce: enabling the network economy,"Bart Meltzer, Robert Glushko",ACM SIGMOD Record ,1998
1817,,0,306109,A workflow-based electronic marketplace on the Web,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record ,1998
1667,0.950186,0,304571,DBIS-toolkit: adaptable middleware for large scale data delivery,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",International Conference on Management of Data,1999
1502,0.964887,0,304570,An XJML-based wrapper generator for Web information extraction,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,1999
1818,,0,304573,Database patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,1999
