dst,src
732657,495
3776481,1141
4175445,1141
4405866,1141
5364505,1141
4175445,3776481
4405866,3776481
5364505,3776481
4405866,4175445
5364505,4175445
5364505,4405866
238542,2975
910792,2975
989814,2975
3080069,2975
3520313,2975
910792,238542
989814,238542
3080069,238542
3520313,238542
989814,910792
3080069,910792
3520313,910792
3080069,989814
3520313,989814
3520313,3080069
1921121,5373
5572220,5373
5572220,1921121
2856686,5569
531404,9473
1681471,9473
2775095,9473
2938263,9473
5213076,9473
1681471,531404
2775095,531404
2938263,531404
5213076,531404
2775095,1681471
2938263,1681471
5213076,1681471
2938263,2775095
5213076,2775095
5213076,2938263
493888,10769
2284461,10769
3294019,10769
3665542,10769
2284461,493888
3294019,493888
3665542,493888
3294019,2284461
3665542,2284461
3665542,3294019
1353020,10938
5145077,10938
5145077,1353020
2302839,14857
1718557,17655
4307737,22241
3289187,22970
3654935,22970
3654935,3289187
2179713,24664
3642829,27329
167688,29152
1311635,29152
1434760,29152
2196636,29152
2315382,29152
2572007,29152
3496363,29152
3981023,29152
4541765,29152
1311635,167688
1434760,167688
2196636,167688
2315382,167688
2572007,167688
3496363,167688
3981023,167688
4541765,167688
1434760,1311635
2196636,1311635
2315382,1311635
2572007,1311635
3496363,1311635
3981023,1311635
4541765,1311635
2196636,1434760
2315382,1434760
2572007,1434760
3496363,1434760
3981023,1434760
4541765,1434760
2315382,2196636
2572007,2196636
3496363,2196636
3981023,2196636
4541765,2196636
2572007,2315382
3496363,2315382
3981023,2315382
4541765,2315382
3496363,2572007
3981023,2572007
4541765,2572007
3981023,3496363
4541765,3496363
4541765,3981023
2130193,29293
582326,31951
1058016,31951
1203849,31951
1982991,31951
4885309,31951
1058016,582326
1203849,582326
1982991,582326
4885309,582326
1203849,1058016
1982991,1058016
4885309,1058016
1982991,1203849
4885309,1203849
4885309,1982991
800703,32868
1029919,32868
1909139,32868
2346379,32868
2643516,32868
3537179,32868
4424242,32868
1029919,800703
1909139,800703
2346379,800703
2643516,800703
3537179,800703
4424242,800703
1909139,1029919
2346379,1029919
2643516,1029919
3537179,1029919
4424242,1029919
2346379,1909139
2643516,1909139
3537179,1909139
4424242,1909139
2643516,2346379
3537179,2346379
4424242,2346379
3537179,2643516
4424242,2643516
4424242,3537179
1057155,37255
2408123,39587
2520128,39587
3284449,39587
2520128,2408123
3284449,2408123
3284449,2520128
767699,42618
781542,42618
798789,42618
2497896,42618
2753882,42618
3592472,42618
3784279,42618
4845114,42618
781542,767699
798789,767699
2497896,767699
2753882,767699
3592472,767699
3784279,767699
4845114,767699
798789,781542
2497896,781542
2753882,781542
3592472,781542
3784279,781542
4845114,781542
2497896,798789
2753882,798789
3592472,798789
3784279,798789
4845114,798789
2753882,2497896
3592472,2497896
3784279,2497896
4845114,2497896
3592472,2753882
3784279,2753882
4845114,2753882
3784279,3592472
4845114,3592472
4845114,3784279
1336842,43921
1570405,43921
2931205,43921
1570405,1336842
2931205,1336842
2931205,1570405
1830021,46737
2301846,46737
5178209,46737
2301846,1830021
5178209,1830021
5178209,2301846
1795440,48528
2082414,48528
2204990,48528
2892180,48528
3633600,48528
3675905,48528
4284274,48528
4924596,48528
5238694,48528
5398222,48528
2082414,1795440
2204990,1795440
2892180,1795440
3633600,1795440
3675905,1795440
4284274,1795440
4924596,1795440
5238694,1795440
5398222,1795440
2204990,2082414
2892180,2082414
3633600,2082414
3675905,2082414
4284274,2082414
4924596,2082414
5238694,2082414
5398222,2082414
2892180,2204990
3633600,2204990
3675905,2204990
4284274,2204990
4924596,2204990
5238694,2204990
5398222,2204990
3633600,2892180
3675905,2892180
4284274,2892180
4924596,2892180
5238694,2892180
5398222,2892180
3675905,3633600
4284274,3633600
4924596,3633600
5238694,3633600
5398222,3633600
4284274,3675905
4924596,3675905
5238694,3675905
5398222,3675905
4924596,4284274
5238694,4284274
5398222,4284274
5238694,4924596
5398222,4924596
5398222,5238694
2582894,59921
2457004,65748
1261076,68184
1691883,84839
340048,86475
3288633,86475
4544595,86475
3288633,340048
4544595,340048
4544595,3288633
2161351,91421
4731912,98020
5539262,118908
1632061,128291
3893516,128291
4457808,128291
3893516,1632061
4457808,1632061
4457808,3893516
852626,139600
1014365,139600
1303022,139600
1770385,139600
2434545,139600
2889118,139600
3474090,139600
4820261,139600
1014365,852626
1303022,852626
1770385,852626
2434545,852626
2889118,852626
3474090,852626
4820261,852626
1303022,1014365
1770385,1014365
2434545,1014365
2889118,1014365
3474090,1014365
4820261,1014365
1770385,1303022
2434545,1303022
2889118,1303022
3474090,1303022
4820261,1303022
2434545,1770385
2889118,1770385
3474090,1770385
4820261,1770385
2889118,2434545
3474090,2434545
4820261,2434545
3474090,2889118
4820261,2889118
4820261,3474090
1372810,165856
2071287,165856
3081990,165856
5466038,165856
2071287,1372810
3081990,1372810
5466038,1372810
3081990,2071287
5466038,2071287
5466038,3081990
451006,170375
5568255,176456
3078717,179138
4782857,179138
4782857,3078717
526783,193519
1523215,193519
1570140,193519
1727923,193519
2090693,193519
2372238,193519
2533422,193519
4914745,193519
1523215,526783
1570140,526783
1727923,526783
2090693,526783
2372238,526783
2533422,526783
4914745,526783
1570140,1523215
1727923,1523215
2090693,1523215
2372238,1523215
2533422,1523215
4914745,1523215
1727923,1570140
2090693,1570140
2372238,1570140
2533422,1570140
4914745,1570140
2090693,1727923
2372238,1727923
2533422,1727923
4914745,1727923
2372238,2090693
2533422,2090693
4914745,2090693
2533422,2372238
4914745,2372238
4914745,2533422
393739,195895
2123440,197443
4244609,200057
1202651,209599
2811465,209599
3689766,209599
3914338,209599
2811465,1202651
3689766,1202651
3914338,1202651
3689766,2811465
3914338,2811465
3914338,3689766
2934356,229795
3076401,229795
3161162,229795
3171770,229795
3554418,229795
3695834,229795
4846238,229795
4995988,229795
5495968,229795
3076401,2934356
3161162,2934356
3171770,2934356
3554418,2934356
3695834,2934356
4846238,2934356
4995988,2934356
5495968,2934356
3161162,3076401
3171770,3076401
3554418,3076401
3695834,3076401
4846238,3076401
4995988,3076401
5495968,3076401
3171770,3161162
3554418,3161162
3695834,3161162
4846238,3161162
4995988,3161162
5495968,3161162
3554418,3171770
3695834,3171770
4846238,3171770
4995988,3171770
5495968,3171770
3695834,3554418
4846238,3554418
4995988,3554418
5495968,3554418
4846238,3695834
4995988,3695834
5495968,3695834
4995988,4846238
5495968,4846238
5495968,4995988
1020755,251571
1214459,251571
4834086,251571
1214459,1020755
4834086,1020755
4834086,1214459
316757,279674
611318,279674
1056364,279674
1798760,279674
1870096,279674
2612848,279674
3014974,279674
3047905,279674
3444116,279674
3528695,279674
3675005,279674
4146741,279674
4857750,279674
611318,316757
1056364,316757
1798760,316757
1870096,316757
2612848,316757
3014974,316757
3047905,316757
3444116,316757
3528695,316757
3675005,316757
4146741,316757
4857750,316757
1056364,611318
1798760,611318
1870096,611318
2612848,611318
3014974,611318
3047905,611318
3444116,611318
3528695,611318
3675005,611318
4146741,611318
4857750,611318
1798760,1056364
1870096,1056364
2612848,1056364
3014974,1056364
3047905,1056364
3444116,1056364
3528695,1056364
3675005,1056364
4146741,1056364
4857750,1056364
1870096,1798760
2612848,1798760
3014974,1798760
3047905,1798760
3444116,1798760
3528695,1798760
3675005,1798760
4146741,1798760
4857750,1798760
2612848,1870096
3014974,1870096
3047905,1870096
3444116,1870096
3528695,1870096
3675005,1870096
4146741,1870096
4857750,1870096
3014974,2612848
3047905,2612848
3444116,2612848
3528695,2612848
3675005,2612848
4146741,2612848
4857750,2612848
3047905,3014974
3444116,3014974
3528695,3014974
3675005,3014974
4146741,3014974
4857750,3014974
3444116,3047905
3528695,3047905
3675005,3047905
4146741,3047905
4857750,3047905
3528695,3444116
3675005,3444116
4146741,3444116
4857750,3444116
3675005,3528695
4146741,3528695
4857750,3528695
4146741,3675005
4857750,3675005
4857750,4146741
2325830,293897
4821890,293897
4821890,2325830
3526049,297254
4071101,297254
4071101,3526049
4990916,297851
1601357,336907
3696096,336907
3696096,1601357
5552080,339751
1559375,354811
2268280,354811
2694485,354811
3039976,354811
2268280,1559375
2694485,1559375
3039976,1559375
2694485,2268280
3039976,2268280
3039976,2694485
2441851,361559
3469495,361559
5186465,361559
3469495,2441851
5186465,2441851
5186465,3469495
1709595,362333
2793886,362333
2793886,1709595
4021156,399292
1201600,403762
5024801,403762
5024801,1201600
694676,417666
4984231,417666
4984231,694676
4185900,433163
2166663,455334
3117770,458049
4633435,458049
4633435,3117770
952645,460225
4520553,477717
5215023,477717
5215023,4520553
2532209,481232
4467256,481232
4467256,2532209
3016828,496163
3367053,496163
3367053,3016828
3025550,523207
3829118,539998
5576935,539998
5576935,3829118
2701554,545161
2157505,555679
5431333,555679
5431333,2157505
957717,556035
2923494,556035
2923494,957717
4425314,567497
1628999,582015
1932550,582015
4767663,582015
1932550,1628999
4767663,1628999
4767663,1932550
2260117,600102
4109573,600102
4109573,2260117
5080113,600895
5415168,601148
1323478,606174
4317091,606188
2911572,611991
5176135,611991
5176135,2911572
4090388,618023
736572,620699
3590373,620699
4173730,620699
4890628,620699
5324139,620699
5505770,620699
3590373,736572
4173730,736572
4890628,736572
5324139,736572
5505770,736572
4173730,3590373
4890628,3590373
5324139,3590373
5505770,3590373
4890628,4173730
5324139,4173730
5505770,4173730
5324139,4890628
5505770,4890628
5505770,5324139
1502811,623895
3148659,623976
3356951,623976
4667582,623976
3356951,3148659
4667582,3148659
4667582,3356951
2298369,633577
2299762,633577
2299762,2298369
1694015,634822
3478519,634822
4251305,634822
3478519,1694015
4251305,1694015
4251305,3478519
1799861,635283
1925596,635283
5264410,635283
5386303,635283
1925596,1799861
5264410,1799861
5386303,1799861
5264410,1925596
5386303,1925596
5386303,5264410
3481034,637338
3798044,637338
5248174,637338
5325215,637338
3798044,3481034
5248174,3481034
5325215,3481034
5248174,3798044
5325215,3798044
5325215,5248174
1121190,644422
1060202,656539
1883165,656539
2755682,656539
3103819,656539
4981066,656539
5148570,656539
1883165,1060202
2755682,1060202
3103819,1060202
4981066,1060202
5148570,1060202
2755682,1883165
3103819,1883165
4981066,1883165
5148570,1883165
3103819,2755682
4981066,2755682
5148570,2755682
4981066,3103819
5148570,3103819
5148570,4981066
788176,661652
1750793,671633
3180136,671633
4492276,671633
3180136,1750793
4492276,1750793
4492276,3180136
1300521,720647
3956648,720647
3956648,1300521
3618104,780751
1005711,783976
5189886,783976
5189886,1005711
3243011,804032
1295440,804575
1498284,804575
2132857,804575
3155147,804575
5176650,804575
5191645,804575
5196009,804575
1498284,1295440
2132857,1295440
3155147,1295440
5176650,1295440
5191645,1295440
5196009,1295440
2132857,1498284
3155147,1498284
5176650,1498284
5191645,1498284
5196009,1498284
3155147,2132857
5176650,2132857
5191645,2132857
5196009,2132857
5176650,3155147
5191645,3155147
5196009,3155147
5191645,5176650
5196009,5176650
5196009,5191645
3497376,824472
1531746,829632
971744,846853
1526830,846853
2913481,846853
3125155,846853
4173136,846853
4849352,846853
5146507,846853
5593420,846853
1526830,971744
2913481,971744
3125155,971744
4173136,971744
4849352,971744
5146507,971744
5593420,971744
2913481,1526830
3125155,1526830
4173136,1526830
4849352,1526830
5146507,1526830
5593420,1526830
3125155,2913481
4173136,2913481
4849352,2913481
5146507,2913481
5593420,2913481
4173136,3125155
4849352,3125155
5146507,3125155
5593420,3125155
4849352,4173136
5146507,4173136
5593420,4173136
5146507,4849352
5593420,4849352
5593420,5146507
1445382,881297
3824113,881297
4317850,881297
4545842,881297
3824113,1445382
4317850,1445382
4545842,1445382
4317850,3824113
4545842,3824113
4545842,4317850
3926165,882437
3055448,886379
5599458,898053
1101046,916779
4672419,916779
4672419,1101046
1659711,923896
3492168,937005
1249293,954051
1366288,954051
1940624,954051
2375006,954051
3180107,954051
3978954,954051
4287037,954051
4783937,954051
1366288,1249293
1940624,1249293
2375006,1249293
3180107,1249293
3978954,1249293
4287037,1249293
4783937,1249293
1940624,1366288
2375006,1366288
3180107,1366288
3978954,1366288
4287037,1366288
4783937,1366288
2375006,1940624
3180107,1940624
3978954,1940624
4287037,1940624
4783937,1940624
3180107,2375006
3978954,2375006
4287037,2375006
4783937,2375006
3978954,3180107
4287037,3180107
4783937,3180107
4287037,3978954
4783937,3978954
4783937,4287037
4356398,955699
4591749,955699
4591749,4356398
2101937,1009084
2220094,1018876
1461883,1032532
1895195,1032532
3035844,1032532
3209064,1032532
3346015,1032532
1895195,1461883
3035844,1461883
3209064,1461883
3346015,1461883
3035844,1895195
3209064,1895195
3346015,1895195
3209064,3035844
3346015,3035844
3346015,3209064
3158694,1047215
2320810,1091068
2583554,1091068
2871040,1091068
2583554,2320810
2871040,2320810
2871040,2583554
3078428,1092775
3042916,1101986
4253822,1101986
4253822,3042916
4259324,1110066
4675786,1110066
4718033,1110066
4675786,4259324
4718033,4259324
4718033,4675786
1428873,1116685
1645395,1125041
2655884,1125041
3235779,1125041
3419524,1125041
4772898,1125041
2655884,1645395
3235779,1645395
3419524,1645395
4772898,1645395
3235779,2655884
3419524,2655884
4772898,2655884
3419524,3235779
4772898,3235779
4772898,3419524
5522783,1131997
2242574,1139545
5555605,1150766
2032673,1156858
4290887,1156858
4290887,2032673
2657507,1162951
3150058,1170972
4308316,1170972
4308316,3150058
1580955,1182335
5062317,1182335
5062317,1580955
4520521,1272382
4584449,1272382
4584449,4520521
2410179,1282743
3059355,1282743
3915718,1282743
5538965,1282743
3059355,2410179
3915718,2410179
5538965,2410179
3915718,3059355
5538965,3059355
5538965,3915718
2631571,1310386
3014416,1310386
3611422,1310386
4988829,1310386
3014416,2631571
3611422,2631571
4988829,2631571
3611422,3014416
4988829,3014416
4988829,3611422
4327375,1311075
1795171,1314680
3968830,1360041
3290765,1390479
1816636,1431690
2622251,1431690
3582709,1431690
4670930,1431690
2622251,1816636
3582709,1816636
4670930,1816636
3582709,2622251
4670930,2622251
4670930,3582709
4669273,1436030
5286112,1476150
2778635,1476595
2377667,1478156
2280938,1517944
4733271,1542303
4465696,1565795
5540219,1565795
5540219,4465696
4195277,1570792
5354683,1592889
3714122,1606896
4176530,1606896
5516324,1606896
4176530,3714122
5516324,3714122
5516324,4176530
2686877,1608188
3487538,1608188
3487538,2686877
5300606,1622766
3591861,1638662
4229872,1646789
3711426,1687378
4454802,1756880
4528307,1756880
4841762,1756880
5263174,1756880
4528307,4454802
4841762,4454802
5263174,4454802
4841762,4528307
5263174,4528307
5263174,4841762
1912969,1771915
1917176,1771915
3005445,1771915
1917176,1912969
3005445,1912969
3005445,1917176
2717604,1774499
4289344,1774499
4289344,2717604
2585570,1785891
4779011,1785891
5349534,1785891
4779011,2585570
5349534,2585570
5349534,4779011
3296503,1803849
5285408,1803849
5285408,3296503
3298311,1808837
3434289,1808837
4732275,1808837
3434289,3298311
4732275,3298311
4732275,3434289
3165383,1826980
2542457,1849943
2280697,1850942
2667014,1864265
4807926,1864265
4807926,2667014
3011913,1886282
4483181,1949858
4237001,1953009
4520485,1953009
4658685,1953009
4520485,4237001
4658685,4237001
4658685,4520485
2053822,1956832
3473615,1956832
3557480,1956832
3786268,1956832
3973767,1956832
3473615,2053822
3557480,2053822
3786268,2053822
3973767,2053822
3557480,3473615
3786268,3473615
3973767,3473615
3786268,3557480
3973767,3557480
3973767,3786268
3907052,1961400
4132778,1961400
4132778,3907052
2564638,1992350
2047029,2023944
4448136,2023944
4448136,2047029
2745547,2027428
5098838,2027428
5098838,2745547
4328144,2039184
2691191,2039461
2857758,2039461
2857758,2691191
2798366,2070149
3764437,2070149
5435902,2070149
5512146,2070149
3764437,2798366
5435902,2798366
5512146,2798366
5435902,3764437
5512146,3764437
5512146,5435902
3961239,2097128
2625935,2125887
4466647,2125887
4466647,2625935
3536100,2128469
3676425,2168156
4081355,2168156
5591163,2168156
4081355,3676425
5591163,3676425
5591163,4081355
2511415,2169385
4256115,2177876
3376715,2214419
4856030,2214419
4856030,3376715
5373505,2229363
3742126,2250606
3838543,2250606
3838543,3742126
2365788,2257743
3369155,2257743
5187788,2257743
3369155,2365788
5187788,2365788
5187788,3369155
4333555,2267063
2770730,2288217
5600917,2288217
5600917,2770730
4589257,2355096
5143195,2355096
5143195,4589257
5212379,2356092
4997339,2360393
5356683,2413273
5477861,2501607
2673506,2509220
3820517,2533817
4929049,2533817
4929049,3820517
3111135,2546152
3665629,2574488
3868456,2676619
4183935,2693569
4544810,2693569
5165359,2693569
4544810,4183935
5165359,4183935
5165359,4544810
4974382,2731437
4368651,2863442
3010289,2941920
5476166,2953798
3094871,2960275
3276179,2960275
4078982,2960275
4661062,2960275
4870679,2960275
4981394,2960275
3276179,3094871
4078982,3094871
4661062,3094871
4870679,3094871
4981394,3094871
4078982,3276179
4661062,3276179
4870679,3276179
4981394,3276179
4661062,4078982
4870679,4078982
4981394,4078982
4870679,4661062
4981394,4661062
4981394,4870679
3910646,2979698
5361727,3120476
3297130,3127400
3327142,3127400
3374554,3127400
3327142,3297130
3374554,3297130
3374554,3327142
3952738,3151405
4377483,3151405
4377483,3952738
4022450,3164244
4678687,3164244
4678687,4022450
3228679,3218659
4599305,3230051
3882848,3235129
4295638,3340340
3515343,3347592
3911584,3347592
3911584,3515343
3767505,3383142
5327987,3394070
3814209,3409354
5329537,3409354
5329537,3814209
3817847,3461998
4127984,3503304
3986634,3722274
5296162,3722274
5358739,3722274
5296162,3986634
5358739,3986634
5358739,5296162
5475569,3833495
4252202,3860804
4443991,3926536
5453791,3926536
5453791,4443991
4007959,3959313
4767844,3969705
5225426,3976641
4296496,4022407
4803831,4022407
4803831,4296496
5604236,4097341
5185063,4110614
4281773,4187318
4589666,4254793
5323853,4290873
5528450,4406944
4859787,4461032
4810002,4490561
5397723,4520289
5170613,4527183
4803103,4598458
4980720,4699059
5562079,4700520
5522704,4704537
5004166,4757840
5596423,4783577
4959152,4919193
5493329,4966534
5508693,5312893
21435,35
29630,35
162021,35
168818,35
302898,35
375160,35
473732,35
544110,35
781787,35
782446,35
943153,35
1089136,35
1261296,35
1306220,35
1315964,35
1351411,35
1724564,35
1950936,35
1975341,35
2269585,35
2270926,35
2295226,35
2346981,35
2439610,35
2440335,35
2465584,35
2560755,35
2597872,35
2649847,35
2782404,35
2963035,35
2971831,35
3058173,35
3072608,35
